RenderHelper,,func_1158_b,enableStandardItemLighting,Sets the OpenGL lighting properties to the values used when rendering blocks as items,,DUPLICATE,No,,,,,,,,
RenderHelper,,func_1159_a,disableStandardItemLighting,Disables the OpenGL lighting properties enabled by enableStandardItemLighting,,DUPLICATE,No,,,,,,,,
cf (AxisAlignedBB),,func_1160_c,copy,Returns a copy of the bounding box.,,,No,,,,,,,,
cf (AxisAlignedBB),,func_1161_b,getBoundingBoxFromPool,"Returns a bounding box with the specified bounds from the pool.  Args: minX, minY, minZ, maxX, maxY, maxZ",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1164_b,getAverageEdgeLength,Returns the average length of the edges of the bounding box.,,,No,,,,,,,,
cf (AxisAlignedBB),,func_1165_c,setBounds,"Sets the bounds of the bounding box. Args: minX, minY, minZ, maxX, maxY, maxZ",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1166_c,getOffsetBoundingBox,"Returns a bounding box offseted by the specified vector (if negative numbers are given it will shrink). Args: x, y, z",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1167_a,isVecInYZ,Checks if the specified vector is within the YZ dimensions of the bounding box. Args: Vec3D,,,No,,,,,,,,
cf (AxisAlignedBB),,func_1168_a,getBoundingBox,"Returns a bounding box with the specified bounds. Args: minX, minY, minZ, maxX, maxY, maxZ",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1170_a,addCoord,"Adds the coordinates to the bounding box extending it if the point lies outside the current ranges. Args: x, y, z",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1171_b,setBB,Sets the bounding box to the same bounds as the bounding box passed in. Args: axisAlignedBB,,,No,,,,,,,,
cf (AxisAlignedBB),,func_1174_d,offset,"Offsets the current bounding box by the specified coordinates. Args: x, y, z",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1175_b,isVecInXZ,Checks if the specified vector is within the XZ dimensions of the bounding box. Args: Vec3D,,,No,,,,,,,,
cf (AxisAlignedBB),,func_1176_c,isVecInXY,Checks if the specified vector is within the XY dimensions of the bounding box. Args: Vec3D,,,No,,,,,,,,
cf (AxisAlignedBB),,func_1177_b,expands,"Returns a bounding box expanded by the specified vector (if negative numbers are given it will shrink). Args: x, y, z",,,No,,,,,,,,
cf (AxisAlignedBB),,func_1178_a,intersectsWith,Returns whether the given bounding box intersects with this one. Args: axisAlignedBB,,,No,,,,,,,,
a (PathPoint),,func_1179_a,isAssigned,Returns true if this point has already been assigned to a path,,[1],No,,,,,,,,
a (PathPoint),,func_1180_a,distanceTo,Returns the linear distance to another path point,,,No,,,,,,,,
bv (CraftingRecipe),,func_1182_a,matchRecipe,Returns true if the passed in array of item ids matches the recipe,,,No,,,,,,,,
bv (CraftingRecipe),,func_1183_b,createResult,Returns a new item stack that this recipe makes,,,No,,,,,,,,
bv (CraftingRecipe),,func_1184_a,getRecipeSize,Returns the size of the recipe area,,,No,,,,,,,,
bv (CraftingRecipe),,func_1185_a,matches,Returns true if a specific recipe location matches,,,No,,,,,,,,
bn (WorldRenderer),,func_1194_f,MarkDirty,Marks the current renderer data as dirty and needing to be updated,,,No,,,,,,,,
bl (PathEntity),,func_1205_a,getPosition,Gets the position that an entity should be at in the current point in the path,,,No,,,,,,,,
bl (PathEntity),,func_1206_a,incrementPathIndex,Directs this path to the next point in its array,,,No,,,,,,,,
bl (PathEntity),,func_1207_b,isFinished,Returns true if this path has reached the end,,,No,,,,,,,,
bf (ThreadDownloadResources),,func_1208_b,closeMinecraft,Called when Minecraft is closing down.,,,No,,,,,,,,
bf (ThreadDownloadResources),,func_1209_a,loadResource,Loads a resource and passes it to Minecraft to install.,,,No,,,,,,,,
bf (ThreadDownloadResources),,func_1210_a,reloadResources,Reloads the resource folder and passes the resources to Minecraft to install.,,,No,,,,,,,,
bf (ThreadDownloadResources),,func_1211_a,downloadAndInstallResource,Downloads the resource and saves it to disk then installs it.,,,No,,,,,,,,
bf (ThreadDownloadResources),,func_1212_a,downloadResource,Downloads the resource and saves it to disk.,,,No,,,,,,,,
be (OpenGlCapsChecker),,func_1213_a,checkARBOcclusion,Checks if we support OpenGL occlusion.,,,No,,,,,,,,
RenderBlocks,,func_1214_n,renderBlockStairs,Renders a stair block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1216_f,renderBlockMinecartTrack,Renders a minecart track block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1217_b,renderTopFace,"Renders the given texture to the top face of the block. Args: block, x, y, z, texture",,,No,,,,,,,,
RenderBlocks,,func_1218_o,renderBlockDoor,Renders a door block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1220_c,renderEastFace,"Renders the given texture to the east (z-negative) face of the block.  Args: block, x, y, z, texture",,,No,,,,,,,,
RenderBlocks,,func_1221_g,renderBlockLadder,Renders a ladder block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1222_j,renderBlockFluids,Renders a block based on the BlockFluids class at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1223_a,renderBlockUsingTexture,Renders a block using the given texture instead of the block's own default texture,,,No,,,,,,,,
RenderBlocks,,func_1225_d,renderWestFace,"Renders the given texture to the west (z-positive) face of the block.  Args: block, x, y, z, texture",,,No,,,,,,,,
RenderBlocks,,func_1226_h,renderBlockReed,Renders a reed block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1228_k,renderStandardBlock,Renders a standard cube block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1229_c,renderBlockLever,Renders a lever block at the given coordinates,,,No,,,,,,,,
RenderBlocks,,func_1231_e,renderNorthFace,"Renders the given texture to the north (x-negative) face of the block.  Args: block, x, y, z, texture",,,No,,,,,,,,
RenderBlocks,,func_1232_i,renderBlockCrops,Renders a crop block at the given coordinates,,,,,,,,,,,
RenderBlocks,,func_1233_l,renderBlockCactus,Renders a cactus block at the given coordinates,,,,,,,,,,,
RenderBlocks,,func_1234_a,renderBlockByRenderType,Renders the block at the given coordinates using the block's rendering type,,,,,,,,,,,
RenderBlocks,,func_1235_d,renderBlockFire,Renders a fire block at the given coordinates,,,,,,,,,,,
RenderBlocks,,func_1236_f,renderSouthFace,"Renders the given texture to the south (x-positive) face of the block.  Args: block, x, y, z, texture",,,,,,,,,,,
RenderBlocks,,func_1237_a,renderTorchAtAngle,"Renders a torch at the given coordinates, with the base slanting at the given delta",,,,,,,,,,,
RenderBlocks,,func_1240_m,renderBlockFence,Renders a fence block at the given coordinates,,,,,,,,,,,
RenderBlocks,,func_1241_b,renderBlockTorch,Renders a torch block at the given coordinates,,,,,,,,,,,
RenderBlocks,,func_1242_e,renderBlockRedstoneWire,Renders a redstone wire block at the given coordinates,,,,,,,,,,,
RenderBlocks,,func_1244_a,renderBottomFace,"Renders the given texture to the bottom face of the block. Args: block, x, y, z, texture",,,,,,,,,,,
aj (Vec3D),,func_1246_b,crossProduct,Returns a new vector with the result of this vector x the specified vector.,,,,,,,,,,,
aj (Vec3D),,func_1247_a,getIntermediateWithXValue,"Returns a new vector with x value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible.",,,,,,,,,,,
aj (Vec3D),,func_1248_b,createVector,Static method to create a new vector in the vector list and return it.,,,,,,,,,,,
aj (Vec3D),,func_1249_b,rotateAroundY,Rotates the vector around the y axis by the specified angle.,,,,,,,,,,,
aj (Vec3D),,func_1250_b,getIntermediateWithYValue,"Returns a new vector with y value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible.",,,,,,,,,,,
aj (Vec3D),,func_1251_c,distanceTo,"Euclidean distance between this and the specified vector, returned as double.",,,,,,,,,,,
aj (Vec3D),,func_1252_b,normalize,Normalizes the vector to a length of 1 (except if it is the zero vector),,,,,,,,,,,
aj (Vec3D),,func_1253_c,lengthVector,Returns the length of the vector.,,,,,,,,,,,
aj (Vec3D),,func_1254_e,setComponents,"Sets the x,y,z components of the vector as specified.",,,,,,,,,,,
aj (Vec3D),,func_1255_d,squareDistanceTo,"The square of the Euclidean distance between this and the vector of x,y,z components passed in.",,,,,,,,,,,
aj (Vec3D),,func_1256_c,getIntermediateWithZValue,"Returns a new vector with z value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible.",,,,,,,,,,,
aj (Vec3D),,func_1257_c,addVector,"Adds the specified x,y,z vector components to this vector and returns the resulting vector. Does not change this vector.",,,,,,,,,,,
aj (Vec3D),,func_1258_a,rotateAroundX,Rotates the vector around the x axis by the specified angle.,,,,,,,,,,,
aj (Vec3D),,func_1259_a,initialize,Initializes the next empty vector slot in the list to 0.,,,,,,,,,,,
aj (Vec3D),,func_1260_a,createVectorHelper,"Static method for creating a new Vec3D given the three x,y,z values. This is only called from the other static method which creates and places it in the list.",,,,,,,,,,,
aj (Vec3D),,func_1261_d,squareDistanceTo,The square of the Euclidean distance between this and the specified vector.,,,,,,,,,,,
aj (Vec3D),,func_1262_e,subtract,Returns a new vector with the result of the specified vector minus this.,,,,,,,,,,,
ad (IsomPreviewCanvas),,func_1263_a,getDataFolder,Gets the minecraft directory.,,,,,,,,,,,
Render,,func_141_b,doRenderShadowAndFire,Renders the entity's shadow and fire (if its on fire). Args: entity,x,DUPLICATE,,,,,,,,,
Render,,func_142_a,renderAABB,Adds to the tesselator a box using the aabb for the bounds. Args: aabb,,DUPLICATE,,,,,,,,,
Render,,func_144_c,renderShadow,Renders the entity shadows at the position,shadow alpha and partialTickTime. Args: entity,DUPLICATE,,,,,,,,,
Render,,func_145_a,renderShadowOnBlock,Renders a shadow projected down onto the specified block. Brightness of the block plus how far away on the Y axis determines the alpha of the shadow.  Args: block,centerX,DUPLICATE,,,,,,,,,
Render,,func_146_a,renderOffsetAABB,Renders a white box with the bounds of the AABB translated by the offset. Args: aabb,x,DUPLICATE,,,,,,,,,
Render,,func_147_a,doRender,"Actually renders the given argument. This is a synthetic bridge method, always casting down its argument and then handing it off to a worker function which does the actual work. In all probabilty, the class Render is generic (Render<T extends Entity) and this method has signature public void func_147_a(T entity, double d, double d1, double d2, float f, float f1). But JAD is pre 1.5 so doesn't do that.",,,,,,,,,,,
Render,,func_148_a,renderEntityOnFire,Renders fire on top of the entity. Args: entity,x,DUPLICATE,,,,,,,,,
Render,,func_149_b,getWorldFromRenderManager,Returns the render manager's world object,,DUPLICATE,,,,,,,,,
Render,,func_151_a,loadTexture,loads the specified texture,,,,,,,,,,,
RenderItem,,func_161_a,renderItemIntoGUI,Renders the item's icon or block into the UI at the specified position.,,DUPLICATE,,,,,,,,,
RenderItem,,func_162_a,renderQuad,Adds a quad to the tesselator at the specified position with the set width and height and color.  Args: tessellator,x,DUPLICATE,,,,,,,,,
RenderItem,,func_163_a,renderTexturedQuad,Adds a textured quad to the tesselator at the specified position with the specified texture coords,width and height.  Args: x,DUPLICATE,,,,,,,,,
RenderItem,,func_164_b,renderItemOverlayIntoGUI,Renders the item's overlay information. Examples being stack count or damage on top of the item's image at the specified position.,,DUPLICATE,,,,,,,,,
RenderPlayer,,func_185_b,drawFirstPersonHand,*,,,,,,,,,,,
av (ItemBlock),,func_192_a,onItemUse,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !",,,,,,,,,,,
di (Item),,func_193_a,onItemRightClick,"Called whenever this item is equipped and the right mouse button is pressed. Args: itemStack, world, entityPlayer",,,,,,,,,,,
di (Item),,func_196_a,getIconIndex,Returns the icon index of the stack given as argument.,,,,,,,,,,,
di (Item),,func_197_c,getMaxDamage,Returns the maximum damage an item can take.,,,,,,,,,,,
di (Item),,func_200_b,getItemStackLimit,Returns the maximum size of the stack for a specific item. *Isn't this more a Set than a Get?*,,,,,,,,,,,
di (Item),,func_201_b,useItemOnEntity,Uses the given item on the entity.,,,,,,,,,,,
bs (ItemTool),,func_203_a,hitBlock,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.,,,,,,,,,,,
bs (ItemTool),,func_204_a,getStrVsBlock,"Returns the strength of the stack against a given block. 1.0F base, (Quality+1)*2 if correct blocktype, 1.5F if sword",,,,,,,,,,,
ly (Block),,func_207_d,colorMultiplier,Returns a integer with hex for 0xrrggbb with this color multiplied against the blocks color. Note only called when first determining what to render.,,,,,,,,,,,
ly (Block),,func_208_a,updateTick,Ticks the block if it's been scheduled,,,,,,,,,,,
ly (Block),,func_209_d,canProvidePower,Can this block provide power. Only wire currently seems to have this change based on its state.,,,,,,,,,,,
ly (Block),,func_210_f,getRenderType,The type of render function that is called for this block,,,,,,,,,,,
ly (Block),,func_211_a,getBlockTexture,"Retrieves the block texture to use based on the display side. Args: iBlockAccess, x, y, z, side",,,,,,,,,,,
ly (Block),,func_212_i,unusedMethod,Only used to fill an unused field,,,,,,,,,,,
ly (Block),,func_213_a,setBlockBounds,"Sets the bounds of the block.  minX, minY, minZ, maxX, maxY, maxZ",,--,,,,,,,,,
ly (Block),,func_214_b,onBlockRemoval,Called whenever the block is removed.,,,,,,,,,,,
ly (Block),,func_215_a,setLightValue,Sets the amount of light emitted by a block from 0.0f to 1.0f (converts internally to 0-15). Returns the object for convenience in constructing.,,,,,,,,,,,
